"Qty","Value","Part Num","Package","Parts"
"4","","*","PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX","JP-DCIN, JP-ENABLE-UART2, JP-SCL, JP-SDA"
"1","","455-1564-1-ND","JST-GH-2","TRIG-IN"
"1","","455-1566-1-ND","JST-GH-4","UART-EXT"
"1","","455-1569-1-ND","JST-GH-7","TRIG-OUT"
"1","","455-2524-1-ND","SM02B-SFHRS-TF","BATT"
"1","","523-A-1JB","U.FL-A-1JB","X1"
"5","0.1UF","810-CGA3E2X7R1E104K","0603-CAP","C4, C7, C11, C12, C13"
"1","0.22UF","810-C1608X7R1C224K","0603-CAP","C5"
"1","0.033uF","810-CGA3E2X7R1H333MA","0603-CAP","C_BOOT"
"6","1.0UF","810-CGA3E1X7R1E105K","0603-CAP","C1, C3, C9, C10, C14, C_BAT"
"1","1.5uH","81-FDSD0420-H-1R5MP3","FDSD0420","L_SW"
"1","1.8K","667-ERJ-3GEYJ182V","0603-RES","R_CHG"
"1","1.8K","667-ERJ-3GEYJ182V","0603-RES","R_PG"
"1","1UF","810-CGA3E1X7R1E105K","0603-CAP","C_PMID"
"2","2.2UF","810-CGA3E1X5R1C225K","0603-CAP","C15, C_DRV"
"2","4.7K","*","0603-RES","R51, R52"
"1","4.7UF","81-GRM18R60J475KE19D","0603-CAP","C6"
"1","4.7UF","810-C2012X5R1E226M","0603-CAP","C_IN"
"1","10K","667-ERJ-3EKF1002V","0603-RES","R_VDPM_B"
"10","10K","667-ERJ-3EKF1002V","0603-RES","R1, R2, R3, R5, R6, R15, R17, R61, R62, R_ISET1"
"1","10NF","810-CGA3E2X7R1H103K","0603-CAP","C16"
"3","10UF","810-C3225X7R1E106K","1210","C_DC5_OUT1, C_DC5_OUT2, C_OUTS"
"1","10UF","810-C3225X7R1E106K","1210","C_SYS"
"3","10UF","810-CGA4J1X5R1C106K","0603-CAP","C2, C8, C22"
"1","22UF","81-GRM32ER61E226ME5L","1210","C_DC5_IN"
"1","47K","754-RR0816P-473D","0603-RES","R10"
"1","71.5K","667-ERJ-3EKF7152V","0603-RES","R_VDPM_T"
"1","82","667-ERJ-3EKF82R0V","0603-RES","R28"
"3","100K","754-RR0510P-104D","0603-RES","R4, R7, R18"
"2","105","667-ERJ-3EKF1050V","0603-RES","R20, R24"
"1","180","667-ERJ-3GEYJ181V","0603-RES","R19"
"1","270NF","81-GRM188R71C274KA1D","0603-CAP","C_DC5_SS"
"2","287","667-ERJ-3EKF2870V","0603-RES","R9, R16"
"1","590","754-RR1220P-5900D-M","0603-RES","R_ISET"
"1","0603L010YR","576-0603L010YR","0602","PTC1"
"1","10103594-0001LF","649-10103594-0001LF","POS-5","USB"
"1","BAT54C","512-BAT54C","SOT23","D_IUSB"
"2","BLM18SG221TZ1-2.5A","81-BLM18SG221TZ1D","0603","BLM5V1, BLM5V2"
"1","BLUE - APT1608VBC/D","604-APT1608VBC/D","LED-0603","D-TRIGGER"
"1","BQ24266","595-BQ24266RGER","QFN50P400X400X100-25N","CHARGER"
"2","BSS138PS","771-BSS138BKS115","SOT363","T2, T3"
"1","COMNAV_501G","*","COMNAV_501G","U$1"
"1","EDISON_CONNECTOR_FULLMOUNTING_HOLES","798-DF40C70DS04V51","EDISON_DAUGHTER","U2"
"1","FR014H5JZ","512-FR014H5JZ","FR014H5JZ","P_IN"
"1","HM-TRLR-S","*","HM-TRLR-S","LINK"
"1","JST_PH_G","455-1749-1-ND","JST-PH-2-SMT-RA","PWR"
"1","JUMPER-PAD-2-NOYES_SILK","*","PAD-JUMPER-2-NO_YES_SILK","JP_LINK"
"1","LSM9DS0","497-13902-1-ND","LGA-24","U1"
"10","LXES15AAA1-133","81-LXES15AAA1-133","1005","TVS1, TVS2, TVS3, TVS4, TVS5, TVS6, TVS7, TVS8, TVS9, TVS10"
"1","M40-3100345R","855-M40-3100345R","M40-3100345R","EXT-INTERFACE"
"1","MCX-TECON-1-1337586-0","571-1-1337586-0","1-1337586-0","U$2"
"2","MIC2039","998-MIC2039EYM6T5","SOT23-6","5VACCLIM, USBREG"
"1","MIC52053.3V","998-MIC5205-3.3YM5TR","SOT23-5","U4"
"2","ORANGE - APT1608SECK/J4-PRV","604-APT1608SECKJ4PRV","LED-0603","CHARGING, D-REC"
"1","ROJO - APT1608SECK/J3-","604-APT1608SECKJ3PRV","LED-0603","POWER"
"1","ROJO - APT1608SECK/J3-PRV","604-APT1608SECKJ3PRV","LED-0603","D-ON"
"1","SDCARD","538-104031-0811","1040310811","SD"
"1","SKRKAEE010","688-SKRKAE","SKRKAEE010","SREC"
"1","SPR5030T-1R0","652-SRP5030T-1R0M","SRP5030T-1R0","L_DC5_SW"
"1","TPS61232","595-TPS61232DRCR","SON-10","DC5V"
"1","TPS73501DRBT","595-TPS73501DRBR","SON65P300X300X100-9N","DC3VLINK"
"5","TPTP08R","*","TP08R","C-RX2, C-TX2, GP45, GP46, PPS"
"2","TXS0108","595-TXS0108ERGYR","R-PVQFN-N20","U7, U9"
"1","V8PAN50-M3/I","78-V8PAN50-M3/I","V8PAN50-M3/I","D_IN"
"1","VERDE - APT1608ZGCK","604-APT1608ZGCK","LED-0603","D-SAT"
"1","ZEN056V230A16YC","650-ZEN056V230A16YC","ZEN056V230A16YC","PZ1"
